Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-04-09T21:39:50,13313,196,1368,48.5205,9.0551
Bayern,Germany,2020-04-09T21:39:50,15505,191,900,48.1351,11.5775
Berlin,Germany,2020-04-09T21:39:50,2777,15,1055,52.5224,13.3986
Brandenburg,Germany,2020-04-09T21:39:50,945,5,77,52.3501,12.9162
Bremen,Germany,2020-04-09T21:39:50,315,5,71,53.0842,8.8036
Hamburg,Germany,2020-04-09T21:39:50,2290,9,750,53.5493,9.9937
Hessen,Germany,2020-04-09T21:39:50,3301,18,353,50.1284,8.702
"Mecklenburg-
Vor­pommern",Germany,2020-04-09T21:39:50,412,3,42,54.1202,12.1137
Niedersachsen,Germany,2020-04-09T21:39:50,4348,43,724,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-04-09T21:39:50,15241,148,3381,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-04-09T21:39:50,2839,22,164,49.9421,7.1618
Saarland,Germany,2020-04-09T21:39:50,961,12,61,49.2382,7.0046
Sachsen,Germany,2020-04-09T21:39:50,2084,13,33,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-04-09T21:39:50,752,7,22,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-04-09T21:39:50,1135,9,46,54.3615,10.1157
Thüringen,Germany,2020-04-09T21:39:50,840,6,129,51.0285,11.0345
